Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Ordered List,Delete
FALSE,Manufacturing-Execution-Systems,Operations-Business-Management,Manufacturing Execution Systems,,Products - Manufacturing Execution Systems | Emerson,Browse Manufacturing Execution Systems products,Category | Brand | EMR Industry,
FALSE,Marine-Integrated-Control-Monitoring,Control-Safety-Systems,Marine Integrated Control and Monitoring,,Products - Marine Integrated Control and Monitoring | Emerson,Browse Marine Integrated Control and Monitoring products,Category | Brand | EMR Industry,
FALSE,Marine-Measurement-Analysis,Measurement-Instrumentation,Marine Measurement Analysis,,Products - Marine Measurement Analysis | Emerson,Browse Marine Measurement Analysis products,Category | Brand | EMR Industry | EMR Product Type,
FALSE,Midstream-Oil-Gas-Applications,Operations-Business-Management,Midstream Oil and Gas Applications,,Products - Midstream Oil and Gas Applications|Emerson,Browse Midstream Oil and Gas Applications products,Category | Brand | EMR Industry,
FALSE,Monitoring-Systems,Controls-and-Monitoring-Systems,Monitoring Systems,monitoring-systems,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Nuclear-Flow-Controls,Valves-Actuators-Regulators,Nuclear Flow Controls,,Products - Nuclear Flow Controls | Emerson,Browse Nuclear Flow Controls products,Category | Brand | EMR Product Type | EMR Application | EMR Certifications | EMR Industry | EMR Availability | EMR Operating Environment | EMR Actuation | EMR Media,
FALSE,Pipe-Tracing,Indoor-Outdoor-Heating-Cables,Pipe Tracing,pipe-tracing,,,,
FALSE,Pipe-and-Tubing-Tools,Construction-Plumbing-Tools,Pipe and Tubing Tools,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Pipeline-Integrity,Measurement-Instrumentation,Pipeline Integrity,,Products - Pipeline Integrity | Emerson,Browse Pipeline Integrity products,Category | Brand | EMR Industry,
FALSE,Plugs-Receptacles,Electrical-Components-Lighting,Plugs and Receptacles,,Products - Plugs and Receptacles|Emerson,Browse Plugs and Receptacles products,Category | EMR Area Classification | EMR Certifications | EMR Factory Sealed | EMR Amperage | EMR Voltage | EMR Number of Wires | EMR Number of Poles | EMR Material,
FALSE,Pneumatic-Valves,Solenoids-Pneumatics,Pneumatic Valves,,Products - Pneumatic Valves | Emerson,Browse Pneumatic Valves products,Category | EMR Actuation | EMR Function | EMR Media | EMR Pipe Port Size | EMR Port Type | EMR Flow L M | EMR Flow SCFM | EMR Operating Environment | EMR Standards | EMR Application | Brand | EMR Industry,
FALSE,Power-Monitoring,Controls-and-Monitoring-Systems,Power Monitoring,power-monitoring,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Power-Quality-Distribution,Electrical-Components-Lighting,Power Quality and Distribution,,Products - Power Quality and Distribution|Emerson,Browse Power Quality and Distribution products,Category | Brand | EMR Industry,
FALSE,Power-Tools,Construction-Plumbing-Tools,Power Tools,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Pressing,Construction-Plumbing-Tools,Pressing,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Pressure,Measurement-Instrumentation,Pressure,,Products - Pressure | Emerson,Browse Pressure products,Category | Brand | EMR Industry,
FALSE,Professional,Thermostats,Professional,professional,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Programmable,Thermostats,Programmable,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Reels-Switches,Electrical-Components-Lighting,Reels and Switches,,Products - Reels and Switches|Emerson,Browse Reels and Switches products,Category | EMR Industry,
FALSE,Refrigerant-Leak-Detectors,Controls-and-Monitoring-Systems,Refrigerant Leak Detectors,refrigerant-leak-detectors,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Regulators-Relief-Valves,Valves-Actuators-Regulators,Regulators,,Products - Regulators and Relief Valves | Emerson,Browse Regulators and Relief Valves products,Category | Brand | EMR Product Type | EMR Industry | EMR Segment | EMR Application | EMR Material | EMR Critical Service | EMR Certifications | EMR Valve Size | EMR Operating Temperature | EMR Shutoff Class | EMR Flow Characteristics | EMR Pressure Class | EMR Max Inlet Pressure | EMR Max Outlet Pressure | EMR Style | EMR Fluid State | EMR Valve Size Standard,
FALSE,Reservoir-Management-Software,Operations-Business-Management,Reservoir Management Software,,Products - Reservoir Management Software|Emerson,Browse Reservoir Management Software products,Category | EMR Product Type | Brand | EMR Industry,
FALSE,Residential-AC-Electronics,Heating-and-Air-Conditioning,Residential AC Electronics,,,,Category | EMR Input Voltage Range | EMR HVAC System Type | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Residential-Air-Conditioning,Heating-and-Air-Conditioning,Residential Air Conditioning,residential-air-conditioning,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Residential-Air-Conditioning-Components,Heating-and-Air-Conditioning,Residential Air Conditioning Components,residential-air-conditioning-components,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Residential-Control-Products,Heating-and-Air-Conditioning,Residential Control Products,residential-control-products,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry | EMR Certifications | EMR Input Power | EMR Temperature Rise | EMR Hardware Configuration | EMR Firmware Update | EMR UL Recognized,
FALSE,Residential-Heating-Cable-Systems,Indoor-Outdoor-Heating-Cables,Residential Heating Cable Systems,residential-heating-cable-systems,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
