AttributeDictionaryAttributeAndAllowedValues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName
EMR Generic Spec 8 Label,STRING,1,1014,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 8 Label,,,,,,EMR,Generic Spec 8 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 8 Value,STRING,1,1015,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 8 Value,,,,,,EMR,Generic Spec 8 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 9 Label,STRING,1,1016,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 9 Label,,,,,,EMR,Generic Spec 9 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 9 Value,STRING,1,1017,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 9 Value,,,,,,EMR,Generic Spec 9 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 10 Label,STRING,1,1018,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 10 Label,,,,,,EMR,Generic Spec 10 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 10 Value,STRING,1,1019,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 10 Value,,,,,,EMR,Generic Spec 10 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 11 Label,STRING,1,1020,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 11 Label,,,,,,EMR,Generic Spec 11 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 11 Value,STRING,1,1021,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 11 Value,,,,,,EMR,Generic Spec 11 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 12 Label,STRING,1,1022,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 12 Label,,,,,,EMR,Generic Spec 12 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 12 Value,STRING,1,1023,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 12 Value,,,,,,EMR,Generic Spec 12 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 13 Label,STRING,1,1024,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 13 Label,,,,,,EMR,Generic Spec 13 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 13 Value,STRING,1,1025,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 13 Value,,,,,,EMR,Generic Spec 13 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 14 Label,STRING,1,1026,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 14 Label,,,,,,EMR,Generic Spec 14 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
